Source,normalized_particle.L_concentration,size_min_um,size_max_um,DOI,Sample_ID,Subsample_ID,alpha_lower,alpha,alpha_upper,correction_factor,corrected_concentration,correction_factor_lower,corrected_concentration_lower,correction_factor_upper,corrected_concentration_upper
drinkingwater,13,0.22,5000,10.1016/j.envpol.2020.114227,2|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,4.94,0.79,10.21,0.16,2.14
drinkingwater,17,0.22,5000,10.1016/j.envpol.2020.114227,3|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,6.46,0.79,13.36,0.16,2.8
drinkingwater,14,0.22,5000,10.1016/j.envpol.2020.114227,4|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,5.32,0.79,11,0.16,2.31
drinkingwater,60,0.22,5000,10.1016/j.envpol.2020.114227,5|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,22.8,0.79,47.14,0.16,9.9
drinkingwater,13,0.22,5000,10.1016/j.envpol.2020.114227,6|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,4.94,0.79,10.21,0.16,2.14
drinkingwater,15,0.22,5000,10.1016/j.envpol.2020.114227,7|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,5.7,0.79,11.79,0.16,2.47
drinkingwater,18,0.22,5000,10.1016/j.envpol.2020.114227,8|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,6.84,0.79,14.14,0.16,2.97
drinkingwater,37,0.22,5000,10.1016/j.envpol.2020.114227,9|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,14.06,0.79,29.07,0.16,6.1
drinkingwater,34,0.22,5000,10.1016/j.envpol.2020.114227,10|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,12.92,0.79,26.72,0.16,5.61
drinkingwater,38,0.22,5000,10.1016/j.envpol.2020.114227,11|10.1016/j.envpol.2020.114227,N/A,1.09,1.64,2.19,0.38,14.44,0.79,29.86,0.16,6.27
