DOI,Sample_ID,Subsample_ID,Source,Concentration,Concentration_Units,normalized_particle/L_concentration,PEST,PE,PP,PA,PE_PS,PS,CA,PVC,ER,PAM,PET,PlasticAdditive,PBT,PU,PET_PEST,PAN,Silicone,Acrylic,Vinyl,Vinyon,Other,PA_ER,PTT,PE_PP,PPS,Rayon,PAA,PMPS,PI,Olefin,Styrene_Butadiene,PBA,PMMA,Cellophane,SAN,PC,PDMS,PLA,PTFE,SBR,PET_Olefin,PES,ABS,LDPE,PEVA,AR,PVA,PPE
10.1016/j.scitotenv.2021.150545,A_Flocc|10.1016/j.scitotenv.2021.150545,A_Flocc_PP|10.1016/j.scitotenv.2021.150545,tap water,774.1,particles/L,774.1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_Flocc|10.1016/j.scitotenv.2021.150545,A_Flocc_PVC|10.1016/j.scitotenv.2021.150545,tap water,200.8,particles/L,200.8,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_Sand|10.1016/j.scitotenv.2021.150545,A_Sand_PE|10.1016/j.scitotenv.2021.150545,tap water,280.6,particles/L,280.6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_Sand|10.1016/j.scitotenv.2021.150545,A_Sand_PP|10.1016/j.scitotenv.2021.150545,tap water,260.4,particles/L,260.4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_Sand|10.1016/j.scitotenv.2021.150545,A_Sand_PVC|10.1016/j.scitotenv.2021.150545,tap water,200,particles/L,200,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_Treated|10.1016/j.scitotenv.2021.150545,A_Treated_PE|10.1016/j.scitotenv.2021.150545,tap water,180.1,particles/L,180.1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_Treated|10.1016/j.scitotenv.2021.150545,A_Treated_PP|10.1016/j.scitotenv.2021.150545,tap water,200.1,particles/L,200.1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,A_Treated|10.1016/j.scitotenv.2021.150545,A_Treated_PVC|10.1016/j.scitotenv.2021.150545,tap water,90,particles/L,90,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_BioTreatment|10.1016/j.scitotenv.2021.150545,B_BioTreatment_PA|10.1016/j.scitotenv.2021.150545,tap water,394.1,particles/L,394.1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2021.150545,B_BioTreatment|10.1016/j.scitotenv.2021.150545,B_BioTreatment_VINYL|10.1016/j.scitotenv.2021.150545,tap water,1092.3,particles/L,1092.3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
