Source,concentration
River Reported,2.4
River Reported,2.3
River Reported,2.3
River Reported,2.3
River Reported,2.1
River Reported,1.8
River Reported,1.6
River Reported,1.6
River Reported,1.6
River Reported,1.6
River Reported,1.5
River Reported,1.5
River Reported,1.5
River Reported,1.5
River Reported,1.5
River Reported,1.5
River Reported,1.5
River Reported,1.3
River Reported,1.2
River Reported,1.2
River Reported,1.2
River Reported,1.2
River Reported,1.2
River Reported,0.9
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.8
River Reported,0.7
River Reported,0.7
River Reported,0.6
River Reported,0.6
River Reported,0.6
River Reported,0.6
River Reported,0.6
River Reported,0.6
River Reported,0.773
River Reported,0.556
River Reported,1.825
River Reported,0.626
River Reported,1.067
River Reported,0.992
River Reported,0.6
River Reported,0.6
River Reported,0.1
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0.789
River Reported,1.028
River Reported,0.108
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
River Reported,0
Drinking Water Corrected,953.64
Drinking Water Corrected,1760.04
Drinking Water Corrected,2265.12
Drinking Water Corrected,159.48
Drinking Water Corrected,121.68
Drinking Water Corrected,226.08
Drinking Water Corrected,2.52E-04
Drinking Water Corrected,6.48
