DOI,Sample_ID,Subsample_ID,cleaned_morphology,morphology,morph_ratio,Source,normalized_particle.L_concentration,corrected_concentration,morph_particle.L_reported,morph_particle.L_corrected
10.3389/fchem.2018.00407,Oct0719|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,252,327.6,7.56,9.828
10.3389/fchem.2018.00407,BN7141A04117|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,174,226.2,5.22,6.786
10.3389/fchem.2018.00407,HE.B.No 229 (BM/AS)|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,826,1073.8,24.78,32.214
10.3389/fchem.2018.00407,MU.N.No.298 (MA/AD)|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,213,276.9,6.39,8.307
10.3389/fchem.2018.00407,SO.B No.087 (AS/LB)|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,3.72,4.836,0.1116,0.14508
10.3389/fchem.2018.00407,Oct 0118NHBRB|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,165,214.5,4.95,6.435
10.3389/fchem.2018.00407,P18NOV17CG3|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,74.6,96.98,2.238,2.9094
10.3389/fchem.2018.00407,17.11.18|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,686,891.8,20.58,26.754
10.3389/fchem.2018.00407,14.10.18|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,20,26,0.6,0.78
10.3389/fchem.2018.00407,09.08.18|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,37.3,48.49,1.119,1.4547
10.3389/fchem.2018.00407,PRD 03 21 2017 14:02|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,197,256.1,5.91,7.683
10.3389/fchem.2018.00407,PRD 05 24 17 11:29|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,58.2,75.66,1.746,2.2698
10.3389/fchem.2018.00407,07.142018 2|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,1410,1833,42.3,54.99
10.3389/fchem.2018.00407,NV No. AC-51-07269|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,204,265.2,6.12,7.956
10.3389/fchem.2018.00407,FAB: 211017 09:06SP|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,40.1,52.13,1.203,1.5639
10.3389/fchem.2018.00407,FAB: 160817 15:05SP|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,12.5,16.25,0.375,0.4875
10.3389/fchem.2018.00407,FAB: 091217 16:53SP|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,150,195,4.5,5.85
10.3389/fchem.2018.00407,100517 278WF246|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,2277,2960.1,68.31,88.803
10.3389/fchem.2018.00407,P: 4/11/17 03:34 AZ|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,49.3,64.09,1.479,1.9227
10.3389/fchem.2018.00407,730805210A 23:28|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,468,608.4,14.04,18.252
10.3389/fchem.2018.00407,BBE 11.2018 10|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,30.3,39.39,0.909,1.1817
10.3389/fchem.2018.00407,20171102 1214JN|10.3389/fchem.2018.00407,N/A,Nurdle,Nurdle,0.03,drinkingwater,156,202.8,4.68,6.084
