source,material,n,density,lower_conf,upper_conf
polymerdatabase.com,Poly(butyl ethylene),N/A,0.86,0.838296133,0.881703867
polymerdatabase.com,Poly(cyclohexylethylene),N/A,0.94,0.918296133,0.961703867
polymerdatabase.com,Poly(heptylethylene),N/A,0.87,0.848296133,0.891703867
polymerdatabase.com,Poly(hexylethylene),N/A,0.87,0.848296133,0.891703867
polymerdatabase.com,Poly(isobutene),N/A,0.88,0.858296133,0.901703867
polymerdatabase.com,Poly(isobutylethylene),N/A,0.84,0.818296133,0.861703867
polymerdatabase.com,Poly(isopropylethylene),N/A,0.9,0.878296133,0.921703867
polymerdatabase.com,Poly(2-methylbutene),N/A,0.9,0.878296133,0.921703867
polymerdatabase.com,Poly(octylethylene),N/A,0.865,0.843296133,0.886703867
polymerdatabase.com,Poly(pentylethylene),N/A,0.87,0.848296133,0.891703867
polymerdatabase.com,Poly(propylethylene),N/A,0.85,0.828296133,0.871703867
polymerdatabase.com,Poly(tert-butylethylene),N/A,0.86,0.838296133,0.881703867
polymerdatabase.com,Nylon 3 - Poly(propiolactam),N/A,1.24,1.218296133,1.261703867
polymerdatabase.com,Nylon 8 - Polycapryllactam,N/A,1.04,1.018296133,1.061703867
polymerdatabase.com,Nylon 10 - Poly(decano-10-lactam),N/A,1.02,0.998296133,1.041703867
polymerdatabase.com,"Nylon 6,9 - Poly(hexamethylene azelamide)",N/A,1.08,1.058296133,1.101703867
polymerdatabase.com,"Nylon 10,10 - Poly(decamethylene sebacamide)",N/A,0.99,0.968296133,1.011703867
polymerdatabase.com,"Poly(hexamethylene isophthalamide), PA 6I",N/A,1.18,1.158296133,1.201703867
polymerdatabase.com,"Poly(hexamethylene teraphthalamide), PA 6T",N/A,1.18,1.158296133,1.201703867
polymerdatabase.com,Kevlar - Polyaramide,N/A,1.44,1.418296133,1.461703867
polymerdatabase.com,Nomex - Poly(m-phenylene terephthalamide),N/A,1.36,1.338296133,1.381703867
polymerdatabase.com,"Poly(nonanmethylene teraphthalamide), PA 9T",N/A,1.1,1.078296133,1.121703867
polymerdatabase.com,Poly(p-pentamethylenedibenzoic anhydride),N/A,1.17,1.148296133,1.191703867
polymerdatabase.com,Poly(p-tetramethylenedibenzoic anhydride),N/A,1.19,1.168296133,1.211703867
polymerdatabase.com,Poly(sebacic anhydride),N/A,1.12,1.098296133,1.141703867
polymerdatabase.com,Poly(azelaic anhydride),N/A,1.13,1.108296133,1.151703867
polymerdatabase.com,"Poly(1,2-butadiene)",N/A,0.91,0.888296133,0.931703867
polymerdatabase.com,"Poly(1,4-butadiene)",N/A,0.89,0.868296133,0.911703867
polymerdatabase.com,"Poly(1-ethyl-1,4-butadiene)",N/A,0.89,0.868296133,0.911703867
polymerdatabase.com,"1,4-Polyisoprene (cis and trans)(Latex)",N/A,0.905,0.883296133,0.926703867
polymerdatabase.com,"Poly(1,4-pentadiene)",N/A,0.89,0.868296133,0.911703867
polymerdatabase.com,Poly(1-pentenylene),N/A,0.9,0.878296133,0.921703867
polymerdatabase.com,Poly(dimethyl fumarate),N/A,1.25,1.228296133,1.271703867
polymerdatabase.com,Poly(dibutyl fumarate),N/A,1.12,1.098296133,1.141703867
polymerdatabase.com,Poly(diethyl fumarate),N/A,1.18,1.158296133,1.201703867
polymerdatabase.com,Poly(dipropyl fumarate),N/A,1.21,1.188296133,1.231703867
polymerdatabase.com,Poly(bisphenol A carbonate),N/A,1.21,1.188296133,1.231703867
polymerdatabase.com,"Poly(4,4'-thiodiphenylene carbonate)",N/A,1.36,1.338296133,1.381703867
polymerdatabase.com,Poly(bisphenol B carbonate),N/A,1.18,1.158296133,1.201703867
polymerdatabase.com,Poly(bisphenol F carbonate),N/A,1.24,1.218296133,1.261703867
polymerdatabase.com,Poly(ethylene carbonate),N/A,1.42,1.398296133,1.441703867
polymerdatabase.com,Poly(propylene carbonate),N/A,1.26,1.238296133,1.281703867
polymerdatabase.com,"Poly(2,6,3',5'-tetrachloro bisphenol A carbonate)",N/A,0.92,0.898296133,0.941703867
polymerdatabase.com,Poly(tetramethyl bisphenol A carbonate),N/A,1.08,1.058296133,1.101703867
polymerdatabase.com,Cellulose Acetate,N/A,1.3,1.278296133,1.321703867
polymerdatabase.com,Methyl Cellulose,N/A,1.33,1.308296133,1.351703867
polymerdatabase.com,Ethyl Cellulose,N/A,1.14,1.118296133,1.161703867
polymerdatabase.com,Poly(chlorotrifluoroethylene),N/A,2,1.978296133,2.021703867
polymerdatabase.com,Poly(vinyl bromide),N/A,2.13,2.108296133,2.151703867
polymerdatabase.com,Poly(vinyl fluoride),N/A,1.34,1.318296133,1.361703867
polymerdatabase.com,Poly(vinylidene chloride),N/A,1.71,1.688296133,1.731703867
polymerdatabase.com,Poly(methyl cyanoacrylate),N/A,1.33,1.308296133,1.351703867
polymerdatabase.com,Poly(ethyl cyanoacrylate),N/A,1.27,1.248296133,1.291703867
polymerdatabase.com,Poly(butyl cyanoacrylate),N/A,1.17,1.148296133,1.191703867
polymerdatabase.com,Poly(hexyl cyanoacrylate),N/A,1.11,1.088296133,1.131703867
polymerdatabase.com,Poly(octyl cyanoacrylate),N/A,1.07,1.048296133,1.091703867
polymerdatabase.com,Bisphenol-A diglycidyl ether epoxy resin,N/A,1.18,1.158296133,1.201703867
polymerdatabase.com,Bisphenol-F diglycidyl ether epoxy resin,N/A,1.17,1.148296133,1.191703867
polymerdatabase.com,Poly(bis-A diglycidyl ether- alt - ethylenediamine),N/A,1.14,1.118296133,1.161703867
polymerdatabase.com,Poly(bis-A diglycidyl ether- alt - hexamethylenediamine),N/A,1.1,1.078296133,1.121703867
polymerdatabase.com,Poly(bis-A diglycidyl ether- alt - octamethylenediamine),N/A,1.08,1.058296133,1.101703867
polymerdatabase.com,Poly(caprolactone),N/A,1.12,1.098296133,1.141703867
